Genus	Organism	Accession	Original_tip_label
Aestuariibacter	Aestuariibacter_sp._GS-14	WP_140959234.1	Aestuariibacter_sp._GS-14|WP_140959234.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Alcanivorax	Alcanivorax_sp._24	WP_133493510.1	Alcanivorax_sp._24|WP_133493510.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Aliiglaciecola	Aliiglaciecola_aliphaticivorans	WP_460311521.1	Aliiglaciecola_aliphaticivorans|WP_460311521.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Aliiglaciecola	unclassified_Aliiglaciecola	WP_303500066.1	unclassified_Aliiglaciecola|WP_303500066.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Alkalimonas	Alkalimonas_collagenimarina	WP_369812671.1	Alkalimonas_collagenimarina|WP_369812671.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Alloalcanivorax	Alloalcanivorax_mobilis	WP_101674902.1	Alloalcanivorax_mobilis|WP_101674902.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Alloalcanivorax	Alloalcanivorax_profundimaris_2	WP_194298376.1	Alloalcanivorax_profundimaris_2|WP_194298376.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Alloalcanivorax	Alloalcanivorax_xenomutans_6	WP_433976675.1	Alloalcanivorax_xenomutans_6|WP_433976675.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Alteromonas	Alteromonas_ponticola	WP_169211550.1	Alteromonas_ponticola|WP_169211550.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Alteromonas	Alteromonas_sp._M12	WP_342806235.1	Alteromonas_sp._M12|WP_342806235.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Alteromonas	Alteromonas_sp._a30	WP_268408416.1	Alteromonas_sp._a30|WP_268408416.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Arenicella	Arenicella_sp._4NH20-0111	WP_353410179.1	Arenicella_sp._4NH20-0111|WP_353410179.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Arsukibacterium	Arsukibacterium_sp._1	WP_318967992.1	Arsukibacterium_sp._1|WP_318967992.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Arsukibacterium	Arsukibacterium_sp._2	WP_372626301.1	Arsukibacterium_sp._2|WP_372626301.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Colwellia	Colwellia_sp._2	WP_291610914.1	Colwellia_sp._2|WP_291610914.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Colwellia	Colwellia_sp._F1	WP_475659072.1	Colwellia_sp._F1|WP_475659072.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Fluctibacter	Fluctibacter_halophilus	WP_229158737.1	Fluctibacter_halophilus|WP_229158737.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Gallaecimonas	Gallaecimonas_pentaromativorans_4	WP_050660496.1	Gallaecimonas_pentaromativorans_4|WP_050660496.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Gallaecimonas	Gallaecimonas_xiamenensis	WP_008486116.1	Gallaecimonas_xiamenensis|WP_008486116.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Halioxenophilus	Halioxenophilus_aromaticivorans_2	WP_345421781.1	Halioxenophilus_aromaticivorans_2|WP_345421781.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Halioxenophilus	Halioxenophilus_aromaticivorans_3	WP_464370279.1	Halioxenophilus_aromaticivorans_3|WP_464370279.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Lacimicrobium	Lacimicrobium_alkaliphilum	WP_062478888.1	Lacimicrobium_alkaliphilum|WP_062478888.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Maricurvus	Maricurvus_nonylphenolicus	WP_390614625.1	Maricurvus_nonylphenolicus|WP_390614625.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Marisediminitalea	Marisediminitalea_alba	WP_105936495.1	Marisediminitalea_alba|WP_105936495.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Marisediminitalea	Marisediminitalea_sp._1	WP_490711645.1	Marisediminitalea_sp._1|WP_490711645.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
