Genus	Organism	Accession	Original_tip_label	Full_genus_count	Representatives_retained
Aestuariibacter	Aestuariibacter_sp._GS-14	WP_140959234.1	Aestuariibacter_sp._GS-14|WP_140959234.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	1	1
Alcanivorax	Alcanivorax_sp._24	WP_133493510.1	Alcanivorax_sp._24|WP_133493510.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	1	1
Aliiglaciecola	Aliiglaciecola_aliphaticivorans	WP_460311521.1	Aliiglaciecola_aliphaticivorans|WP_460311521.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	5	2
Aliiglaciecola	unclassified_Aliiglaciecola	WP_303500066.1	unclassified_Aliiglaciecola|WP_303500066.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	5	2
Alloalcanivorax	Alloalcanivorax_mobilis	WP_101674902.1	Alloalcanivorax_mobilis|WP_101674902.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	27	4
Alloalcanivorax	Alloalcanivorax_profundimaris_3	WP_260548447.1	Alloalcanivorax_profundimaris_3|WP_260548447.1|Ig-like_domain-containing_protein	27	4
Alloalcanivorax	Alloalcanivorax_venustensis_12	WP_474234444.1	Alloalcanivorax_venustensis_12|WP_474234444.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	27	4
Alloalcanivorax	Alloalcanivorax_xenomutans_6	WP_316308580.1	Alloalcanivorax_xenomutans_6|WP_316308580.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	27	4
Alteromonas	Alteromonas_ponticola	WP_169211550.1	Alteromonas_ponticola|WP_169211550.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	12	3
Alteromonas	Alteromonas_sp._M12	WP_342806235.1	Alteromonas_sp._M12|WP_342806235.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	12	3
Alteromonas	Alteromonas_sp._a30	WP_268408416.1	Alteromonas_sp._a30|WP_268408416.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	12	3
Arenicella	Arenicella_sp._4NH20-0111	WP_353410179.1	Arenicella_sp._4NH20-0111|WP_353410179.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	1	1
Arsukibacterium	Arsukibacterium_indicum	WP_308160236.1	Arsukibacterium_indicum|WP_308160236.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	4	2
Arsukibacterium	Arsukibacterium_sp.	WP_372626301.1	Arsukibacterium_sp.|WP_372626301.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	4	2
Colwellia	Colwellia_sp._1	WP_291610914.1	Colwellia_sp._1|WP_291610914.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	9	2
Colwellia	Colwellia_sp._KU-HH00111	WP_353537636.1	Colwellia_sp._KU-HH00111|WP_353537636.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	9	2
Fluctibacter	Fluctibacter_halophilus	WP_229158737.1	Fluctibacter_halophilus|WP_229158737.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	1	1
Gallaecimonas	Gallaecimonas_pentaromativorans_1	WP_464948910.1	Gallaecimonas_pentaromativorans_1|WP_464948910.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	5	2
Gallaecimonas	Gallaecimonas_xiamenensis	WP_008486116.1	Gallaecimonas_xiamenensis|WP_008486116.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	5	2
Halioxenophilus	Halioxenophilus_aromaticivorans_1	WP_390517656.1	Halioxenophilus_aromaticivorans_1|WP_390517656.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	3	2
Halioxenophilus	Halioxenophilus_aromaticivorans_3	WP_464370279.1	Halioxenophilus_aromaticivorans_3|WP_464370279.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	3	2
Lacimicrobium	Lacimicrobium_alkaliphilum	WP_062478888.1	Lacimicrobium_alkaliphilum|WP_062478888.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	1	1
Maricurvus	Maricurvus_nonylphenolicus	WP_390614625.1	Maricurvus_nonylphenolicus|WP_390614625.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	1	1
Marisediminitalea	Marisediminitalea_alba	WP_105936495.1	Marisediminitalea_alba|WP_105936495.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	6	2
Marisediminitalea	Marisediminitalea_sp._2	WP_490711645.1	Marisediminitalea_sp._2|WP_490711645.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	6	2
Microbulbifer	Microbulbifer_aggregans	WP_069947361.1	Microbulbifer_aggregans|WP_069947361.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	8	2
Microbulbifer	uncultured_Microbulbifer_sp.	WP_295799054.1	uncultured_Microbulbifer_sp.|WP_295799054.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	8	2
Neptunicella	Neptunicella_plasticusilytica	WP_416306217.1	Neptunicella_plasticusilytica|WP_416306217.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	1	1
Paraglaciecola	Paraglaciecola_sp._IT1134	WP_489728994.1	Paraglaciecola_sp._IT1134|WP_489728994.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	2	2
Paraglaciecola	uncultured_Paraglaciecola_sp.	WP_339720544.1	uncultured_Paraglaciecola_sp.|WP_339720544.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	2	2
Paraneptunicella	Paraneptunicella_aestuarii	WP_232359458.1	Paraneptunicella_aestuarii|WP_232359458.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	1	1
Pseudoalteromonas	Pseudoalteromonas_lipolytica_2	WP_417698834.1	Pseudoalteromonas_lipolytica_2|WP_417698834.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	58	5
Pseudoalteromonas	Pseudoalteromonas_sp._12	WP_375185160.1	Pseudoalteromonas_sp._12|WP_375185160.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	58	5
