Protein accession number,Latitude,Longitude,Exact sampling location,Coordinate evidence,Source URL
WP_011624024.1,Not reported,Not reported,Black Sea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN02598317 | https://www.ncbi.nlm.nih.gov/nuccore/NC_008321.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA13904
WP_495141453.1,Not reported,Not reported,Brazil: Florianopolis,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN58751966 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CM181977.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1462342
WP_269970245.1,GCF_027571385.1: 11.4 | GCF_035917035.1: 11.4 | GCF_035917075.1: 11.4,GCF_027571385.1: 142.4 | GCF_035917035.1: 142.4 | GCF_035917075.1: 142.4,GCF_027571385.1: Pacific Ocean: The Mariana Trench | depth: 10890 m | GCF_035917035.1: Pacific Ocean: The Mariana Trench | depth: 10890 m | GCF_035917075.1: Pacific Ocean: The Mariana Trench | depth: 10890 m,GCF_027571385.1: BioSample SAMN15339468 lat_lon field: 11.4 N 142.4 E | GCF_027571385.1: GenBank NZ_CP085636.1 /lat_lon qualifier: 11.4 N 142.4 E | GCF_035917035.1: BioSample SAMN15339469 lat_lon field: 11.4 N 142.4 E | GCF_035917035.1: GenBank NZ_JAJENR010000005.1 /lat_lon qualifier: 11.4 N 142.4 E | GCF_035917075.1: BioSample SAMN15339470 lat_lon field: 11.4 N 142.4 E | GCF_035917075.1: GenBank NZ_JAJENS010000005.1 /lat_lon qualifier: 11.4 N 142.4 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN15339468 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP085636.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN15339469 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAJENR010000005.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN15339470 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAJENS010000005.1
WP_349560949.1,Not reported,Not reported,Portugal,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN18287954 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAGDEC010000001.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA714099
WP_054553986.1,GCF_001306915.1: 41.524998,GCF_001306915.1: -70.673098,"USA: Garbage Beach, Woods Hole, MA",GCF_001306915.1: BioSample SAMN04088200 lat_lon field: 41.524998 N 70.673098 W | GCF_001306915.1: GenBank NZ_LJTC01000011.1 /lat_lon qualifier: 41.524998 N 70.673098 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN04088200 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_LJTC01000011.1
WP_250662258.1,GCF_023650775.1: 18.24,GCF_023650775.1: 109.36,China: Hainan Island,GCF_023650775.1: BioSample SAMN18533556 lat_lon field: 18.24 N 109.36 E | GCF_023650775.1: GenBank NZ_CP072674.1 /lat_lon qualifier: 18.24 N 109.36 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN18533556 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP072674.1
WP_448896118.1,GCF_053543955.1: 34.4027,GCF_053543955.1: -119.53483,USA: Carpenteria Salt Marsh Reserve,GCF_053543955.1: BioSample SAMN43548681 lat_lon field: 34.4027 N 119.53483 W | GCF_053543955.1: GenBank NZ_JBHFOM010000055.1 /lat_lon qualifier: 34.4027 N 119.53483 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN43548681 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBHFOM010000055.1
WP_286260681.1,GCF_030297135.1: 42.12574,GCF_030297135.1: 139.99966,Japan:Hakodate,GCF_030297135.1: BioSample SAMD00603154 lat_lon field: 42.12574 N 139.99966 E | GCF_030297135.1: GenBank NZ_AP028066.1 /lat_lon qualifier: 42.12574 N 139.99966 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00603154 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_AP028066.1
WP_294089584.1,-34.0614,-73.1066,GCF_913043935.1: depth: 5 | GCF_002685175.1: Pacific Ocean: Chile-Peru Current Coastal Province | depth: 5-1000m,BioSample SAMEA9694845 latitude/longitude fields: -34.0614; -73.1066,https://www.ncbi.nlm.nih.gov/biosample/SAMEA9694845
WP_217702824.1,Not reported,Not reported,"USA: GA, Athens",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN14444636 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAATOU010000001.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA553557
