Genus	Organism	Accession	Original_tip_label
Actinomadura	Actinomadura_sp._NAK00032	WP_254715825.1	Actinomadura_sp._NAK00032|WP_254715825.1|bis_hydroxyethyl_terephthalate_hydrolase
Actinophytocola	Actinophytocola_sediminis	WP_460403762.1	Actinophytocola_sediminis|WP_460403762.1|alpha/beta_hydrolase_family_protein
Actinoplanes	Actinoplanes_sp._M2I2	WP_250008156.1	Actinoplanes_sp._M2I2|WP_250008156.1|alpha/beta_hydrolase_family_protein
Allohahella	Allohahella_marinimesophila	WP_344804818.1	Allohahella_marinimesophila|WP_344804818.1|alpha/beta_hydrolase_family_protein
Allohahella	Allohahella_sp._A8	WP_416398726.1	Allohahella_sp._A8|WP_416398726.1|alpha/beta_hydrolase_family_protein
Alteromonas	Alteromonas_sp._S167	WP_334015429.1	Alteromonas_sp._S167|WP_334015429.1|alpha/beta_hydrolase_family_protein
Arenicella	Arenicella_sp._4NH20-0111	WP_353410588.1	Arenicella_sp._4NH20-0111|WP_353410588.1|poly_ethylene_terephthalate_hydrolase_family_protein
Aurantivibrio	Aurantivibrio_infirmus	WP_460225302.1	Aurantivibrio_infirmus|WP_460225302.1|alpha/beta_hydrolase_family_protein
Aurantivibrio	Aurantivibrio_plasticivorans_2	WP_460231427.1	Aurantivibrio_plasticivorans_2|WP_460231427.1|alpha/beta_hydrolase_family_protein
Aurantivibrio	Aurantivibrio_plasticivorans_4	WP_464107832.1	Aurantivibrio_plasticivorans_4|WP_464107832.1|alpha/beta_hydrolase_family_protein
Gilvimarinus	unclassified_Gilvimarinus	WP_445617810.1	unclassified_Gilvimarinus|WP_445617810.1|dienelactone_hydrolase_family_protein
Glaciecola	Glaciecola_sp._HA4-3	WP_472617452.1	Glaciecola_sp._HA4-3|WP_472617452.1|alpha/beta_hydrolase_family_protein
Halopseudomonas	Halopseudomonas_aestusnigri_1	WP_285677831.1	Halopseudomonas_aestusnigri_1|WP_285677831.1|alpha/beta_hydrolase_family_protein
Halopseudomonas	Halopseudomonas_sp._1	WP_335616960.1	Halopseudomonas_sp._1|WP_335616960.1|alpha/beta_hydrolase_family_protein
Halopseudomonas	Halopseudomonas_sp._11	WP_335605499.1	Halopseudomonas_sp._11|WP_335605499.1|alpha/beta_hydrolase_family_protein
Halopseudomonas	Halopseudomonas_sp._4NH20-0008_1	WP_487154109.1	Halopseudomonas_sp._4NH20-0008_1|WP_487154109.1|alpha/beta_hydrolase_family_protein
Halopseudomonas	Halopseudomonas_sp._4NH20-0008_3	WP_487156170.1	Halopseudomonas_sp._4NH20-0008_3|WP_487156170.1|alpha/beta_hydrolase_family_protein
Halopseudomonas	uncultured_Halopseudomonas_sp._2	WP_339842536.1	uncultured_Halopseudomonas_sp._2|WP_339842536.1|alpha/beta_hydrolase_family_protein
Ketobacter	Ketobacter_alkanivorans	WP_101893885.1	Ketobacter_alkanivorans|WP_101893885.1|alpha/beta_hydrolase_family_protein
Ketobacter	Ketobacter_sp.	WP_290577639.1	Ketobacter_sp.|WP_290577639.1|alpha/beta_hydrolase_family_protein
Ketobacter	unclassified_Ketobacter	WP_290594301.1	unclassified_Ketobacter|WP_290594301.1|dienelactone_hydrolase_family_protein
Marinobacter	Marinobacter_nanhaiticus	WP_085988667.1	Marinobacter_nanhaiticus|WP_085988667.1|alpha/beta_hydrolase_family_protein
Marinobacter	Marinobacter_sp._OP_3.4_1	WP_328185892.1	Marinobacter_sp._OP_3.4_1|WP_328185892.1|alpha/beta_hydrolase_family_protein
Marinobacter	Marinobacter_sp._OP_3.4_2	WP_328185870.1	Marinobacter_sp._OP_3.4_2|WP_328185870.1|alpha/beta_hydrolase_family_protein
Marinobacter	uncultured_Marinobacter_sp._2	WP_339802426.1	uncultured_Marinobacter_sp._2|WP_339802426.1|alpha/beta_hydrolase_family_protein
Oceaniserpentilla	Oceaniserpentilla_sp._4NH20-0058_1	WP_353348434.1	Oceaniserpentilla_sp._4NH20-0058_1|WP_353348434.1|alpha/beta_hydrolase_family_protein
Oceaniserpentilla	Oceaniserpentilla_sp._4NH20-0058_2	WP_353348446.1	Oceaniserpentilla_sp._4NH20-0058_2|WP_353348446.1|alpha/beta_hydrolase_family_protein
Oceaniserpentilla	Oceaniserpentilla_sp._4NH20-0058_3	WP_353352583.1	Oceaniserpentilla_sp._4NH20-0058_3|WP_353352583.1|alpha/beta_hydrolase_family_protein
Pseudomaricurvus	Pseudomaricurvus_sp.	WP_439133283.1	Pseudomaricurvus_sp.|WP_439133283.1|alpha/beta_hydrolase_family_protein
Pseudomonas	Pseudomonas_sp.	WP_425221518.1	Pseudomonas_sp.|WP_425221518.1|alpha/beta_hydrolase_family_protein
Pseudomonas	Pseudomonas_sp._GOM6	WP_277688238.1	Pseudomonas_sp._GOM6|WP_277688238.1|alpha/beta_hydrolase_family_protein
Pseudomonas	Pseudomonas_sp._GW-45_3	WP_483324067.1	Pseudomonas_sp._GW-45_3|WP_483324067.1|alpha/beta_hydrolase_family_protein
Pseudomonas	Pseudomonas_sp._gcc21_2	WP_169407363.1	Pseudomonas_sp._gcc21_2|WP_169407363.1|alpha/beta_hydrolase_family_protein
Pseudomonas	uncultured_Pseudomonas_sp.	WP_339666415.1	uncultured_Pseudomonas_sp.|WP_339666415.1|alpha/beta_hydrolase_family_protein
Shewanella	Shewanella_surugensis	WP_248941904.1	Shewanella_surugensis|WP_248941904.1|alpha/beta_hydrolase_family_protein
Shewanella	uncultured_Shewanella_sp._1	WP_299011092.1	uncultured_Shewanella_sp._1|WP_299011092.1|poly_ethylene_terephthalate_hydrolase_family_protein
Shewanella	uncultured_Shewanella_sp._2	WP_298772618.1	uncultured_Shewanella_sp._2|WP_298772618.1|poly_ethylene_terephthalate_hydrolase_family_protein
Streptomonospora	Streptomonospora_sediminis	WP_461003215.1	Streptomonospora_sediminis|WP_461003215.1|alpha/beta_hydrolase_family_protein
Streptomyces	Streptomyces_sp._63XJN7_1_ISO-PGPR-S23-121	WP_475536341.1	Streptomyces_sp._63XJN7_1_ISO-PGPR-S23-121|WP_475536341.1|bis_hydroxyethyl_terephthalate_hydrolase
Streptomyces	Streptomyces_sp._H23	WP_134651899.1	Streptomyces_sp._H23|WP_134651899.1|bis_hydroxyethyl_terephthalate_hydrolase
Streptomyces	Streptomyces_sp._NPDC006997	WP_360218589.1	Streptomyces_sp._NPDC006997|WP_360218589.1|bis_hydroxyethyl_terephthalate_hydrolase
Stutzerimonas	Stutzerimonas_chloritidismutans	WP_342405044.1	Stutzerimonas_chloritidismutans|WP_342405044.1|alpha/beta_hydrolase_family_protein
Stutzerimonas	Stutzerimonas_stutzeri	WP_037003877.1	Stutzerimonas_stutzeri|WP_037003877.1|alpha/beta_hydrolase_family_protein
Vibrio	Vibrio	WP_139344129.1	Vibrio|WP_139344129.1|alpha/beta_hydrolase_family_protein
Vibrio	Vibrio_gazogenes	WP_021018894.1	Vibrio_gazogenes|WP_021018894.1|alpha/beta_hydrolase_family_protein
