Protein accession number,Latitude,Longitude,Exact sampling location,Coordinate evidence,Source URL
WP_483284391.1,Not reported,Not reported,Antarctica: Indian Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN27753156
WP_298906696.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157161
WP_201628412.1,Not reported,Not reported,"Sea of Japan, Russia",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339757
WP_372828779.1,29.928,122.422,China: ZhouShan,BioSample lat_lon field: 29.928 N 122.422 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN42104286
WP_238036692.1,24.61,118.3,China: Fujian,BioSample lat_lon field: 24.61 N 118.30 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN16812798
WP_464753840.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD01611161
WP_372843729.1,29.948,122.407,China: ZhouShan,BioSample lat_lon field: 29.948 N 122.407 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN42102094
WP_352339194.1,Not reported,Not reported,"Antarctica: Terra Nova Bay, Victoria Land",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN40943954
WP_371532333.1,Not reported,Not reported,Arctic Ocean:North of Greenland,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN35056146
WP_200662746.1,Not reported,Not reported,"Spain: Motri, Granada",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN16579446
WP_198327676.1,78.92,11.95,Svalbard,BioSample lat_lon field: 78.92 N 11.95 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN16562205
WP_223332682.1,29.501,34.917,Israel: Gulf of Aqaba,BioSample lat_lon field: 29.501 N 34.917 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN17204114
WP_277078041.1,-65.8776,-68.2823,Antarctica: West Antarctic Peninsula,BioSample lat_lon field: 65.8776 S 68.28227 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN31464285
WP_265090687.1,Not reported,Not reported,Antarctica,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN16825360
WP_058025816.1,-3.1,-102.55,Pacific Ocean: East Pacific Rise,BioSample lat_lon field: 3.10 S 102.55 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN04270327
WP_320154178.1,78.92,11.95,Svalbard,BioSample lat_lon field: 78.92 N 11.95 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN16562214
WP_201555270.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339742
WP_455705530.1,-1.44,117.24,Indonesia: Makassar Strait,BioSample lat_lon field: 1.44 S 117.24 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN53440442
WP_201620353.1,Not reported,Not reported,"Sea of Japan, Russia",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339756
WP_289000163.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157167
WP_472781948.1,37.07,131.23,South Korea,BioSample lat_lon field: 37.07 N 131.23 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN49492963
WP_201545234.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339783
WP_289047145.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157162
WP_201604737.1,Not reported,Not reported,North Sea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339735
WP_160022867.1,-33.4,2.35,Atlantic Ocean: Walvis Ridge Sector,BioSample lat_lon field: 33.40 S 2.35 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN12392404
WP_420230577.1,-35.0328,138.517,Australia:Adelaide,BioSample lat_lon field: 35.032752 S 138.516560 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN47142151
WP_277350418.1,Not reported,Not reported,"Sea of Japan, Russia",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339794
WP_057760058.1,Not reported,Not reported,Norway: Norwegian Sea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN03975701
WP_298810856.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157160
WP_197102965.1,Not reported,Not reported,Antarctica,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN16825361
WP_379544292.1,57.5949,9.9609,Denmark: Hirtshals,BioSample lat_lon field: 57.594940 N 9.960902 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN38151464
WP_320158565.1,Not reported,Not reported,Svalbard,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN16825348
WP_320157866.1,Not reported,Not reported,Southern Atlantic Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339759
WP_290177258.1,43.282,-49.121,Atlantic Ocean,BioSample lat_lon field: 43.282 N 49.121 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN33771945
WP_339343431.1,45.3143,12.5083,Not reported,BioSample geographic location fields: latitude 45.31435; longitude 12.508317,https://www.ncbi.nlm.nih.gov/biosample/SAMEA115324290
WP_464754084.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD01611161
WP_320158633.1,Not reported,Not reported,Antarctica,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN16825362
WP_320157573.1,Not reported,Not reported,"Sea of Japan, Russia",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339792
WP_296206776.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN06452289
WP_352259758.1,Not reported,Not reported,"Antarctica: Terra Nova Bay, Victoria Land",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN40943951
WP_425355847.1,48.3937,-124.734,USA: Washington state,BioSample lat_lon field: 48.393689 N 124.733820 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN39934275
WP_474738338.1,37.17,122.568,China:Rongcheng,BioSample lat_lon field: 37.170 N 122.568 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN55001185
WP_350655890.1,Not reported,Not reported,"Antarctica: Terra Nova Bay, Victoria Land",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN40943948
WP_474726537.1,37.17,122.568,China:Rongcheng,BioSample lat_lon field: 37.170 N 122.568 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN55001178
WP_102094145.1,71.3,-157,"USA: near Point Barrow, Alaska",BioSample lat_lon field: 71.3 N 157 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN08125774
WP_320157998.1,Not reported,Not reported,North Sea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339745
WP_290176533.1,43.282,-49.121,Atlantic Ocean,BioSample lat_lon field: 43.282 N 49.121 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN33771944
WP_296211063.1,45.3143,12.5083,Not reported,BioSample geographic location fields: latitude 45.31435; longitude 12.508317,https://www.ncbi.nlm.nih.gov/biosample/SAMEA115324290
WP_224737936.1,14.86,-48.24,Atlantic Ocean,BioSample lat_lon field: 14.86 N 48.24 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN16192961
WP_068034901.1,Not reported,Not reported,Norway: Norwegian sea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN03975702
WP_269117530.1,24.61,118.3,China: Fujian,BioSample lat_lon field: 24.61 N 118.30 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN16812794
WP_218870164.1,Not reported,Not reported,Pacific Ocean: Lau Basin,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN13951813
WP_068326517.1,Not reported,Not reported,Norway: Norwegian sea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN03975700
WP_465183798.1,-62.4714,-59.6967,"Antarctica: Greenwich Bay, South Shetland Islands",BioSample lat_lon field: 62.4714 S 59.6967 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN55386688
WP_201569653.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD01611160
WP_201566452.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD01611160
WP_057758566.1,Not reported,Not reported,Norway: Norwegian Sea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN03975701
WP_347162359.1,42.9017,-71.3385,"USA:New Hampshire, Durham",BioSample lat_lon field: 42.90169 N 71.33851 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN41422187
WP_201551533.1,Not reported,Not reported,glacial fjord in Svalbard,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339722
WP_075107101.1,Not reported,Not reported,Spain: Galicia,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN06020697
