Protein accession number,Latitude,Longitude,Exact sampling location,Coordinate evidence,Source URL
WP_133493510.1,-23.463658,-70.504668,Chile: Antofagasta; local setting: Intertidal zone_La_Rinconada_[PMD],BioSample lat_lon field: 23.463658 S 70.504668 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN11041869
WP_485163824.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120694364
WP_416391079.1,Not reported,Not reported,Pacific Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN30158652
WP_317009323.1,19.5,-96,Mexico: Gulf of Mexico; local setting: marine sublitteral zone; depth: 307 m,BioSample lat_lon field: 19.50 N 96.00 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN37711658
WP_244168483.1,Not reported,Not reported,Indian Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN03965495
WP_474365385.1,38.55,13.18,Mediterranean Sea,BioSample geographic location (latitude) field: 38.55; geographic location (longitude) field: 13.18,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120726525
WP_316308580.1,39.54,116.26,"China: Xiamen, Ocean; depth: 0",BioSample lat_lon field: 39.54 N 116.26 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN37670476
WP_474359680.1,39.48,7.24,Mediterranean Sea,BioSample geographic location (latitude) field: 39.48; geographic location (longitude) field: 7.24,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120726592
WP_423885108.1,22.5675,114.4555,China: Dapeng Bay; local setting: coastal sea water [ENVO_00002150]; depth: 0.1,BioSample lat_lon field: 22.5675 N 114.4555 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN46377876
WP_485164795.1,27.51583333,-111.425,USA:Guaymas Basin,BioSample lat_lon field: 27.51583333 N 111.425 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN09926254
WP_228233368.1,27.27,-111.44,"Mexico: Gulf of California, Sonora Margin; local setting: marine pelagic biome [ENVO_01000023]; depth: 1903",BioSample lat_lon field: 27.27 N 111.44 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN39175666
WP_194855806.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN16709231
WP_228548738.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN16709230
WP_473780318.1,10.847,-65.114,Atlantic Ocean,BioSample geographic location (latitude) field: 10.847; geographic location (longitude) field: -65.114,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120730218
WP_204431675.1,18.921836,72.834705,India: Arabian Sea; local setting: Intertidal zone; depth: 15cm,BioSample lat_lon field: 18.921836 N 72.834705 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN16453395
WP_410308002.1,29.949,122.091,China: Hangzhou city; local setting: Intertidal zone; depth: 0,BioSample lat_lon field: 29.949 N 122.091 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN45997027
WP_423934416.1,22.5675,114.4555,China: Dapeng Bay; local setting: coastal sea water [ENVO_00002150]; depth: 0.1,BioSample lat_lon field: 22.5675 N 114.4555 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN46377821
WP_485154554.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120694275
WP_473785057.1,11.34,142.33,Pacific Ocean,BioSample geographic location (latitude) field: 11.34; geographic location (longitude) field: 142.33,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120737277
WP_474367516.1,11.34,142.33,Pacific Ocean,BioSample geographic location (latitude) field: 11.34; geographic location (longitude) field: 142.33,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120737434
WP_473781655.1,-13.003,-80.809,Pacific Ocean,BioSample geographic location (latitude) field: -13.003; geographic location (longitude) field: -80.809,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120725221
WP_410298276.1,29.949,122.091,China: Hangzhou city; local setting: Intertidal zone; depth: 0,BioSample lat_lon field: 29.949 N 122.091 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN45997028
WP_475647339.1,-16.21,-76.63,Pacific Ocean,BioSample geographic location (latitude) field: -16.21; geographic location (longitude) field: -76.63,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120736446
WP_475364427.1,11.34,142.33,Pacific Ocean,BioSample geographic location (latitude) field: 11.34; geographic location (longitude) field: 142.33,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120737362
WP_474234444.1,36.25,-122.2099,USA,BioSample geographic location (latitude) field: 36.25; geographic location (longitude) field: -122.2099,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120724611
WP_194298376.1,18,116,China: South China Sea; depth: 3850 m,BioSample lat_lon field: 18 N 116 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN14884351
WP_101674902.1,Not reported,Not reported,Indian Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN07344861
WP_229158737.1,Not reported,Not reported,South Korea: Ganghwa Island,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN22563708
WP_416306217.1,Not reported,Not reported,China,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN39617320
WP_043321053.1,Not reported,Not reported,"China: Zhoushan, Zhejiang Province",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN43393937
WP_062478888.1,36.95428158,126.81518554,South Korea: Asan bay tidal flat; depth: 1 meter,BioSample lat_lon field: 36.95428158 N 126.81518554 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN04324273
WP_406827977.1,17.488568,106.628368,Viet Nam; local setting: shoreline,BioSample lat_lon field: 17.488568 N 106.628368 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN40991322
WP_069947361.1,Not reported,Not reported,"Malaysia: Matang Mangrove, Perak",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN04334609
WP_414828916.1,3,142.5,Pacific Ocean; depth: 3200m,BioSample lat_lon field: 3 N 142.5 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN45970368
WP_218355362.1,-27.74,-117.62,Pacific Ocean; local setting: Deep seawater; depth: 3660m,BioSample lat_lon field: 27.74 S 117.62 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN17320765
WP_008486116.1,Not reported,Not reported,China,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN02471169
WP_464948910.1,49.5078,-124.8272709,"Canada: Fanny Bay, Vancouver Island, British Columbia; local setting: shoreline",BioSample lat_lon field: 49.5078 N 124.8272709 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN41075317
WP_417358013.1,36.04,120.26,China: Qingdao; local setting: Enrichment culture biofilms; depth: 1,BioSample lat_lon field: 36.04 N 120.26 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN46274307
WP_214129931.1,Not reported,Not reported,Indian Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN19186168
