Genus	Organism	Accession	Original_tip_label
Bermanella	unclassified_Bermanella	WP_396586513.1	unclassified_Bermanella|WP_396586513.1|copper_resistance_system_multicopper_oxidase
Gallaecimonas	Gallaecimonas_kandeliae	WP_301495760.1	Gallaecimonas_kandeliae|WP_301495760.1|copper_resistance_system_multicopper_oxidase
Ketobacter	Ketobacter_alkanivorans	WP_101892447.1	Ketobacter_alkanivorans|WP_101892447.1|copper_resistance_system_multicopper_oxidase
Methylophaga	Methylophaga_sp._OBS3	WP_266278385.1	Methylophaga_sp._OBS3|WP_266278385.1|copper_resistance_system_multicopper_oxidase
Methylophaga	Methylophaga_sp._OBS4	WP_266326050.1	Methylophaga_sp._OBS4|WP_266326050.1|copper_resistance_system_multicopper_oxidase
Oleiagrimonas	Oleiagrimonas_sp._MCCC_1A03011	WP_113065197.1	Oleiagrimonas_sp._MCCC_1A03011|WP_113065197.1|copper_resistance_system_multicopper_oxidase
Paraperlucidibaca	Paraperlucidibaca_sp.	WP_487990687.1	Paraperlucidibaca_sp.|WP_487990687.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_glaciei_2	WP_275691788.1	Psychrobacter_glaciei_2|WP_275691788.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_glaciei_3	WP_240216656.1	Psychrobacter_glaciei_3|WP_240216656.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_immobilis_1	WP_201555270.1	Psychrobacter_immobilis_1|WP_201555270.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_immobilis_5	WP_201567718.1	Psychrobacter_immobilis_5|WP_201567718.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_nivimaris_3	WP_201572231.1	Psychrobacter_nivimaris_3|WP_201572231.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_okhotskensis	WP_276529530.1	Psychrobacter_okhotskensis|WP_276529530.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_pacificensis_2	WP_277078041.1	Psychrobacter_pacificensis_2|WP_277078041.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_pacificensis_4	WP_430285161.1	Psychrobacter_pacificensis_4|WP_430285161.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._A3	WP_274631640.1	Psychrobacter_sp._A3|WP_274631640.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._AH5	WP_353104189.1	Psychrobacter_sp._AH5|WP_353104189.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._CAL346-MNA-CIBAN-0220	WP_350560759.1	Psychrobacter_sp._CAL346-MNA-CIBAN-0220|WP_350560759.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._CAM01	WP_317053546.1	Psychrobacter_sp._CAM01|WP_317053546.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._CX16	WP_486552851.1	Psychrobacter_sp._CX16|WP_486552851.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._CX5	WP_491185048.1	Psychrobacter_sp._CX5|WP_491185048.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._CX90	WP_486550632.1	Psychrobacter_sp._CX90|WP_486550632.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._CX97	WP_486529742.1	Psychrobacter_sp._CX97|WP_486529742.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._C_20.9	WP_075107101.1	Psychrobacter_sp._C_20.9|WP_075107101.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._DM4	WP_435979993.1	Psychrobacter_sp._DM4|WP_435979993.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._DM8	WP_435949448.1	Psychrobacter_sp._DM8|WP_435949448.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._ENNN9_III	WP_319822887.1	Psychrobacter_sp._ENNN9_III|WP_319822887.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._GW64-MNA-CIBAN-0177	WP_352287807.1	Psychrobacter_sp._GW64-MNA-CIBAN-0177|WP_352287807.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._JCM_18900_1	WP_201569653.1	Psychrobacter_sp._JCM_18900_1|WP_201569653.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._NG25	WP_320108710.1	Psychrobacter_sp._NG25|WP_320108710.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._NG27	WP_198327676.1	Psychrobacter_sp._NG27|WP_198327676.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._P2G3	WP_068326517.1	Psychrobacter_sp._P2G3|WP_068326517.1|copper_resistance_system_multicopper_oxidase
